file_name,info
8630.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
4307.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
4307.T_FY2022_Sustainability Book 2022.pdf,Successfully downloaded
ALL.AX_FY2022_Sustainability Disclosures 2022.pdf,Successfully downloaded
COL.AX_FY2022_2022 Sustainability Report GRI Content Index.pdf,Successfully downloaded
8802.T_FY2022_Integrated Report2022.pdf,Successfully downloaded
NCM.AX_FY2022_2022 Sustainability Report.pdf,Successfully downloaded
4684.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
1605.T_FY2022_SUSTAINABILITYREPORT2022.pdf,Successfully downloaded
066570.KS_FY2022_2021-2022 LG ELECTRONICSSUSTAINABILITY REPORT ESG FACT BOOK.pdf,Successfully downloaded
BT.L_FY2022_Diversity and Inclusion Report 2022.pdf,Successfully downloaded
BT.L_FY2022_Digital Impact and Sustainability Report 2022.pdf,Successfully downloaded
EXHO.PA_FY2022_Fiscal 2022 - Corporate Responsibility Report.pdf,Successfully downloaded
WRB.N_FY2022_SustainabilityReport2022.pdf,Successfully downloaded
7011.T_FY2022_EGS DATABOOK 2022.pdf,Successfully downloaded
9735.T_FY2022_ESG Data.pdf,Successfully downloaded
QBE.AX_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
SNA.N_FY2022_Climate Data 2022.pdf,Successfully downloaded
BG.N_FY2022_2022 Global Sustainability Report.pdf,Successfully downloaded
DLF.NS_FY2022_Sustainability Report 2021-2022.pdf,Successfully downloaded
SJM.N_FY2022_2022 Corporate Impact Report.pdf,Successfully downloaded
1055.HK_FY2022_2021年社会责任报告.pdf,Successfully downloaded
6837.HK_FY2022_2021年度社会责任报告.pdf,Successfully downloaded
"BAH.N_FY2022_2022ENVIRONMENTAL,SOCIAL,GOVERNANCEREPORT.pdf",Successfully downloaded
BRIT.NS_FY2022_SustainabilityReport 2022.pdf,Successfully downloaded
LEON.S_FY2022_SustainabilityReport 2022.pdf,Successfully downloaded
7832.T_FY2022_Sustainability Activities 2022.pdf,Successfully downloaded
7832.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
6762.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
